
217,Aaron Brooks, PG,CHI,82,23,1.25,-2.33,-1.08,1.46
218,Eric Moreland, PF,SAC,3,0.7,-0.57,-0.51,-1.08,0
219,Glenn Robinson III, SG,MIN/PHI,35,7.5,0.19,-1.28,-1.09,0.21
220,Shayne Whittington, PF,IND,20,5.4,-0.32,-0.78,-1.1,0.08
221,Ersan Ilyasova, PF,MIL,58,22.7,1.34,-2.45,-1.11,1.02
222,Ronny Turiaf, C,MIN,2,9.5,-1.28,0.16,-1.12,0.02
223,Elton Brand, PF,ATL,36,13.5,-1.93,0.8,-1.13,0.37
224,Trevor Booker, PF,UTAH,79,19.8,0.38,-1.51,-1.13,1.13
225,Lester Hudson, SG,LAC,5,11.2,-0.22,-0.93,-1.15,0.04
226,Ed Davis, PF,LAL,79,23.3,-0.26,-0.89,-1.15,1.35
227,Reggie Evans, C,SAC,47,16.3,-1.06,-0.1,-1.16,0.55
228,Omer Asik, C,NO,76,26.1,-3,1.84,-1.16,1.44
229,Steven Adams, C,OKC,70,25.3,-2.71,1.54,-1.17,1.31
230,Mario Chalmers, PG,MIA,80,29.6,-1.65,0.46,-1.19,1.66
231,Ryan Hollins, C,SAC,46,9.6,-1.98,0.77,-1.21,0.32
232,Jordan Adams, SG,MEM,30,8.3,-0.63,-0.61,-1.24,0.17
233,Amar'e Stoudemire, C,DAL/NY,59,21.1,-0.13,-1.12,-1.25,0.82
234,Garrett Temple, SG,WSH,52,14.2,-2.23,0.97,-1.26,0.49
235,Lucas Nogueira, C,TOR,6,3.8,-0.92,-0.35,-1.27,0.02
236,Will Barton, SG,DEN/POR,58,16.9,-1.63,0.34,-1.29,0.66
237,Shabazz Napier, PG,MIA,51,19.8,-1.67,0.37,-1.3,0.63
238,Jerami Grant, SF,PHI,65,21.2,-2.41,1.11,-1.3,0.92
239,Vince Carter, SG,MEM,66,16.5,-0.84,-0.49,-1.33,0.68
240,Taj Gibson, PF,CHI,62,27.3,-1.74,0.41,-1.33,1.05
241,Luc Richard Mbah a Moute, PF,PHI,67,28.6,-3.12,1.78,-1.34,1.21
242,Greg Smith, PF,DAL,42,8.6,-3.43,2.09,-1.34,0.23
243,Marreese Speights, C,GS,76,15.9,0.17,-1.52,-1.35,0.8
244,Evan Turner, SG,BOS,82,27.6,-1.09,-0.27,-1.36,1.41
245,O.J. Mayo, SG,MIL,71,23.9,-0.71,-0.66,-1.37,1.05
246,Channing Frye, PF,ORL,75,24.9,-1.28,-0.12,-1.4,1.11
247,Joey Dorsey, C,HOU,69,12.4,-2.42,1.02,-1.4,0.52
248,Eric Gordon, SG,NO,61,33.1,0.48,-1.88,-1.4,1.17
249,Brandon Bass, PF,BOS,82,23.5,-1.21,-0.2,-1.41,1.15
250,Paul George, SF,IND,6,15.2,-0.73,-0.71,-1.44,0.05
251,Ognjen Kuzmic, C,GS,16,4.5,-1.81,0.34,-1.47,0.04
252,Kenyon Martin, PF,MIL,11,9.5,-1.27,-0.21,-1.48,0.06
253,Clint Capela, C,HOU,12,7.5,-1.97,0.49,-1.48,0.05
254,Nerlens Noel, C,PHI,75,30.8,-4.85,3.36,-1.49,1.25
255,Xavier Henry, SF,LAL,9,9.6,-0.33,-1.19,-1.52,0.04
256,Gerald Wallace, SF,BOS,32,8.9,-0.87,-0.66,-1.53,0.15
257,Dwight Powell, PF,BOS/DAL,29,8.1,-1.02,-0.51,-1.53,0.13
258,Toney Douglas, PG,NO,12,14.8,0.16,-1.7,-1.54,0.03
259,Jeff Withey, C,NO,37,7,-0.85,-0.69,-1.54,0.13
260,Corey Brewer, SG,HOU/MIN,80,26.1,-0.32,-1.23,-1.55,1.1
261,Sean Kilpatrick, SG,MIN,4,18,-0.66,-0.89,-1.55,0.04
262,Mirza Teletovic, PF,BKN,40,22.3,-2.51,0.95,-1.56,0.43
263,Patrick Beverley, PG,HOU,56,30.8,-1.27,-0.3,-1.57,0.85
264,Tim Frazier, PG,PHI/POR,11,21.7,-0.64,-0.93,-1.57,0.08
265,Devin Harris, PG,DAL,76,22.2,0.24,-1.84,-1.6,0.79
266,Andre Miller, PG,SAC/WSH,81,15.5,0.52,-2.13,-1.61,0.56
267,David Wear, PF,SAC,2,3.5,-0.93,-0.69,-1.62,0
268,Nick Young, SF,LAL,42,23.8,0.06,-1.69,-1.63,0.45
269,Justin Holiday, SG,GS,59,11.1,-1.48,-0.15,-1.63,0.3
270,Quincy Pondexter, SF,NO/MEM,75,23.9,-1.1,-0.54,-1.64,0.77
271,Glen Davis, PF,LAC,74,12.2,-3.77,2.12,-1.65,0.39
272,Andrew Wiggins, SF,MIN,82,36.2,0.47,-2.12,-1.65,1.3
273,Jannero Pargo, PG,CHA,9,8.1,0.13,-1.79,-1.66,0.03
274,Spencer Hawes, PF,LAC,73,17.5,-2.6,0.92,-1.68,0.53
275,Jason Richardson, SG,PHI,19,21.9,-1.2,-0.51,-1.71,0.17
276,Julius Randle, PF,LAL,1,14,-1.52,-0.19,-1.71,0
277,Ryan Anderson, PF,NO,61,27.5,2.03,-3.75,-1.72,0.64
278,Miles Plumlee, C,MIL/PHX,73,16.4,-2.01,0.28,-1.73,0.46
279,Jared Cunningham, SG,LAC,19,4.7,-1.03,-0.72,-1.75,0.04
280,Toure' Murry, SF,UTAH/WSH,5,3.6,-0.64,-1.11,-1.75,0
281,Omri Casspi, SF,SAC,67,21.1,-0.03,-1.73,-1.76,0.54
282,Dante Exum, SG,UTAH,82,22.2,-1.65,-0.12,-1.77,0.62
283,Jason Thompson, PF,SAC,81,24.6,-2.08,0.26,-1.82,0.66
284,Leandro Barbosa, SG,GS,66,14.9,0.11,-1.95,-1.84,0.32
285,Maurice Harkless, SF,ORL,45,15,-2.5,0.66,-1.84,0.22
286,Nikola Vucevic, C,ORL,74,34.2,-1.48,-0.37,-1.85,0.79
287,Russ Smith, PG,NO/MEM,12,5.4,-1.03,-0.85,-1.88,0.02
288,Greg Stiemsma, C,TOR,17,3.9,-1.25,-0.65,-1.9,0.02
289,Caron Butler, SF,DET,78,20.8,-1.69,-0.22,-1.91,0.43
290,Andre Dawkins, SG,MIA,4,5.5,-0.92,-0.99,-1.91,0.01
291,Devyn Marble, SF,ORL,16,13,-1.62,-0.29,-1.91,0.06
292,Tarik Black, C,HOU/LAL,63,19,-1.67,-0.27,-1.94,0.29
293,Cartier Martin, PF,DET,23,8.6,-1.53,-0.42,-1.95,0.05
294,Shabazz Muhammad, SF,MIN,38,22.8,0.59,-2.54,-1.95,0.22
295,Jordan Hamilton, SG,LAC,14,8.7,-0.77,-1.22,-1.99,0.03
296,Wilson Chandler, SF,DEN,78,31.7,-0.62,-1.39,-2.01,0.53
297,Terrence Ross, SF,TOR,82,25.5,1.76,-3.77,-2.01,0.43
298,Solomon Hill, SF,IND,82,29,-0.68,-1.36,-2.04,0.45
299,Beno Udrih, PG,MEM,79,18.9,0.23,-2.28,-2.05,0.28
300,Michael Beasley, SF,MIA,24,21,-3.13,0.99,-2.14,0.07
301,Kobe Bryant, SG,LAL,35,34.5,0.91,-3.06,-2.15,0.15
302,Reggie Bullock, SG,LAC/PHX,36,9.4,-2.22,0.06,-2.16,0.04
303,Shelvin Mack, PG,ATL,55,15.1,-0.19,-1.98,-2.17,0.09
304,John Jenkins, SG,ATL,24,12.4,-1.64,-0.54,-2.18,0.03
305,Cameron Bairstow, PF,CHI,18,3.6,-1.41,-0.77,-2.18,0.01
306,Glen Rice Jr., SG,WSH,5,8.6,-0.96,-1.25,-2.21,0
307,David Stockton, PG,SAC,3,11,-0.59,-1.63,-2.22,0
308,Mike Scott, PF,ATL,68,16.5,-0.81,-1.42,-2.23,0.08
